country_code,year,indicator,value
KOR,2022,hdi,0.928
KOR,2023,hdi,0.937
MEX,2014,hdi,0.769
MEX,2015,hdi,0.773
MEX,2016,hdi,0.778
MEX,2017,hdi,0.781
MEX,2018,hdi,0.785
MEX,2019,hdi,0.788
MEX,2020,hdi,0.763
MEX,2021,hdi,0.761
MEX,2022,hdi,0.783
MEX,2023,hdi,0.789
PAK,2014,hdi,0.522
PAK,2015,hdi,0.527
PAK,2016,hdi,0.535
PAK,2017,hdi,0.537
PAK,2018,hdi,0.538
PAK,2019,hdi,0.54
PAK,2020,hdi,0.536
PAK,2021,hdi,0.537
PAK,2022,hdi,0.544
PAK,2023,hdi,0.544
PHL,2014,hdi,0.689
PHL,2015,hdi,0.69
PHL,2016,hdi,0.69
PHL,2017,hdi,0.694
PHL,2018,hdi,0.7
PHL,2019,hdi,0.708
PHL,2020,hdi,0.699
PHL,2021,hdi,0.69
PHL,2022,hdi,0.714
PHL,2023,hdi,0.72
RUS,2014,hdi,0.831
RUS,2015,hdi,0.833
RUS,2016,hdi,0.835
RUS,2017,hdi,0.838
RUS,2018,hdi,0.845
RUS,2019,hdi,0.847
RUS,2020,hdi,0.818
RUS,2021,hdi,0.813
RUS,2022,hdi,0.826
RUS,2023,hdi,0.832
SAU,2014,hdi,0.841
SAU,2015,hdi,0.851
SAU,2016,hdi,0.86
SAU,2017,hdi,0.869
SAU,2018,hdi,0.875
SAU,2019,hdi,0.878
SAU,2020,hdi,0.875
SAU,2021,hdi,0.878
SAU,2022,hdi,0.893
SAU,2023,hdi,0.9
TCD,2014,hdi,0.401
TCD,2015,hdi,0.396
TCD,2016,hdi,0.396
TCD,2017,hdi,0.397
TCD,2018,hdi,0.402
TCD,2019,hdi,0.406
TCD,2020,hdi,0.408
TCD,2021,hdi,0.408
TCD,2022,hdi,0.414
TCD,2023,hdi,0.416
TUR,2014,hdi,0.813
TUR,2015,hdi,0.821
TUR,2016,hdi,0.826
TUR,2017,hdi,0.833
TUR,2018,hdi,0.838
TUR,2019,hdi,0.841
TUR,2020,hdi,0.838
TUR,2021,hdi,0.841
TUR,2022,hdi,0.853
TUR,2023,hdi,0.853
USA,2014,hdi,0.926
USA,2015,hdi,0.928
USA,2016,hdi,0.929
USA,2017,hdi,0.931
USA,2018,hdi,0.934
USA,2019,hdi,0.936
USA,2020,hdi,0.925
USA,2021,hdi,0.921
USA,2022,hdi,0.93
USA,2023,hdi,0.938
ZAF,2014,hdi,0.713
ZAF,2015,hdi,0.722
ZAF,2016,hdi,0.722
ZAF,2017,hdi,0.726
ZAF,2018,hdi,0.732
ZAF,2019,hdi,0.742
ZAF,2020,hdi,0.724
ZAF,2021,hdi,0.721
ZAF,2022,hdi,0.737
ZAF,2023,hdi,0.741
