country_code,year,indicator,value
ITA,2017,gdp_per_capita_usd,32844.115660604
JPN,2017,gdp_per_capita_usd,38834.0529341227
KOR,2017,gdp_per_capita_usd,31600.7358741365
MEX,2017,gdp_per_capita_usd,9649.27816772402
PAK,2017,gdp_per_capita_usd,1519.23459514248
PHL,2017,gdp_per_capita_usd,3038.12124959289
RUS,2017,gdp_per_capita_usd,10658.9130859375
SAU,2017,gdp_per_capita_usd,23929.2907135982
TCD,2017,gdp_per_capita_usd,854.46120040098
TUR,2017,gdp_per_capita_usd,10695.550196231
USA,2017,gdp_per_capita_usd,60047.7190728307
ZAF,2017,gdp_per_capita_usd,6618.33508255701
ARG,2018,gdp_per_capita_usd,11752.7998922979
AUS,2018,gdp_per_capita_usd,57196.4220783778
BRA,2018,gdp_per_capita_usd,9300.66164923219
CAF,2018,gdp_per_capita_usd,455.243962859534
CAN,2018,gdp_per_capita_usd,46539.1761570405
CHN,2018,gdp_per_capita_usd,10085.6638148819
CMR,2018,gdp_per_capita_usd,1610.69641591017
COD,2018,gdp_per_capita_usd,528.256019777898
COG,2018,gdp_per_capita_usd,2694.43413191427
DEU,2018,gdp_per_capita_usd,48874.8595028454
EUU,2018,gdp_per_capita_usd,36054.3954466385
FRA,2018,gdp_per_capita_usd,41418.1766484844
GAB,2018,gdp_per_capita_usd,7624.2775233771
GBR,2018,gdp_per_capita_usd,43315.4874501318
GNQ,2018,gdp_per_capita_usd,8102.47084834031
IDN,2018,gdp_per_capita_usd,3860.95353090726
IND,2018,gdp_per_capita_usd,1966.25455171679
ITA,2018,gdp_per_capita_usd,34904.1081923834
JPN,2018,gdp_per_capita_usd,39751.1330982711
KOR,2018,gdp_per_capita_usd,33447.1562836166
MEX,2018,gdp_per_capita_usd,10084.7937553679
PAK,2018,gdp_per_capita_usd,1569.33814626355
PHL,2018,gdp_per_capita_usd,3168.51036609727
RUS,2018,gdp_per_capita_usd,11211.8876953125
SAU,2018,gdp_per_capita_usd,29360.0658968566
TCD,2018,gdp_per_capita_usd,948.656629871231
TUR,2018,gdp_per_capita_usd,9568.83506330228
USA,2018,gdp_per_capita_usd,62875.6661382728
ZAF,2018,gdp_per_capita_usd,6914.1780318076
ARG,2019,gdp_per_capita_usd,9955.97478680428
AUS,2019,gdp_per_capita_usd,54972.7017885437
BRA,2019,gdp_per_capita_usd,9029.83326681073
CAF,2019,gdp_per_capita_usd,449.228467602439
CAN,2019,gdp_per_capita_usd,46352.8693445211
CHN,2019,gdp_per_capita_usd,10342.9009524335
CMR,2019,gdp_per_capita_usd,1555.22660476477
COD,2019,gdp_per_capita_usd,557.044161335917
COG,2019,gdp_per_capita_usd,2488.42466724916
DEU,2019,gdp_per_capita_usd,47623.8656074829
EUU,2019,gdp_per_capita_usd,35374.6443827131
FRA,2019,gdp_per_capita_usd,40408.2848574751
GAB,2019,gdp_per_capita_usd,7441.1786472281
GBR,2019,gdp_per_capita_usd,42794.0022648288
GNQ,2019,gdp_per_capita_usd,6804.14923073888
IDN,2019,gdp_per_capita_usd,4106.94856160358
IND,2019,gdp_per_capita_usd,2041.42863698585
ITA,2019,gdp_per_capita_usd,33812.788724868
JPN,2019,gdp_per_capita_usd,40415.9567649547
KOR,2019,gdp_per_capita_usd,31902.4169048194
MEX,2019,gdp_per_capita_usd,10369.5553585271
PAK,2019,gdp_per_capita_usd,1390.41690981745
PHL,2019,gdp_per_capita_usd,3400.78949767074
RUS,2019,gdp_per_capita_usd,11447.701171875
SAU,2019,gdp_per_capita_usd,29566.7933827436
TCD,2019,gdp_per_capita_usd,893.336441643325
TUR,2019,gdp_per_capita_usd,9215.44049888114
USA,2019,gdp_per_capita_usd,65227.9565911038
ZAF,2019,gdp_per_capita_usd,6533.71121032856
ARG,2020,gdp_per_capita_usd,8535.59938004389
AUS,2020,gdp_per_capita_usd,51791.540179984
BRA,2020,gdp_per_capita_usd,7074.19378337644
CAF,2020,gdp_per_capita_usd,462.879071294011
CAN,2020,gdp_per_capita_usd,43537.839298904
CHN,2020,gdp_per_capita_usd,10627.4637989619
CMR,2020,gdp_per_capita_usd,1555.60370660749
COD,2020,gdp_per_capita_usd,507.521230077872
COG,2020,gdp_per_capita_usd,1993.586671931
DEU,2020,gdp_per_capita_usd,47379.765194548
EUU,2020,gdp_per_capita_usd,34698.4032089427
FRA,2020,gdp_per_capita_usd,39169.8606000707
GAB,2020,gdp_per_capita_usd,6605.80346077904
GBR,2020,gdp_per_capita_usd,40404.8062238951
GNQ,2020,gdp_per_capita_usd,5764.05502912947
IDN,2020,gdp_per_capita_usd,3853.70288774146
IND,2020,gdp_per_capita_usd,1907.04251637669
ITA,2020,gdp_per_capita_usd,32091.4866621366
JPN,2020,gdp_per_capita_usd,40028.7341726762
KOR,2020,gdp_per_capita_usd,31721.2989141857
MEX,2020,gdp_per_capita_usd,8841.2707511328
PAK,2020,gdp_per_capita_usd,1278.39735206896
PHL,2020,gdp_per_capita_usd,3227.57910235199
RUS,2020,gdp_per_capita_usd,10108.3271484375
SAU,2020,gdp_per_capita_usd,24338.8307301067
TCD,2020,gdp_per_capita_usd,866.947814890409
TUR,2020,gdp_per_capita_usd,8638.73903848102
USA,2020,gdp_per_capita_usd,64401.5074354212
ZAF,2020,gdp_per_capita_usd,5580.60383075189
ARG,2021,gdp_per_capita_usd,10738.0179223384
AUS,2021,gdp_per_capita_usd,60607.7788605166
BRA,2021,gdp_per_capita_usd,7972.5366498646
CAF,2021,gdp_per_capita_usd,492.263142830507
CAN,2021,gdp_per_capita_usd,52886.6616372703
CHN,2021,gdp_per_capita_usd,12887.4357242941
CMR,2021,gdp_per_capita_usd,1672.32657340872
COD,2021,gdp_per_capita_usd,558.034077296358
COG,2021,gdp_per_capita_usd,2516.16255145432
DEU,2021,gdp_per_capita_usd,52265.6541620571
EUU,2021,gdp_per_capita_usd,39214.3660784805
FRA,2021,gdp_per_capita_usd,43725.0999521245
GAB,2021,gdp_per_capita_usd,8181.40914134398
GBR,2021,gdp_per_capita_usd,46926.475736105
GNQ,2021,gdp_per_capita_usd,6945.63069794539
IDN,2021,gdp_per_capita_usd,4287.17313995098
IND,2021,gdp_per_capita_usd,2239.61384367482
ITA,2021,gdp_per_capita_usd,36852.5425414951
JPN,2021,gdp_per_capita_usd,40094.5599795288
KOR,2021,gdp_per_capita_usd,35125.5224984723
MEX,2021,gdp_per_capita_usd,10314.0506725979
PAK,2021,gdp_per_capita_usd,1455.31922370186
PHL,2021,gdp_per_capita_usd,3484.38593882819
RUS,2021,gdp_per_capita_usd,12425.029296875
SAU,2021,gdp_per_capita_usd,31920.7653655643
TCD,2021,gdp_per_capita_usd,946.358500208374
TUR,2021,gdp_per_capita_usd,9743.21277804855
USA,2021,gdp_per_capita_usd,71307.4017277218
ZAF,2021,gdp_per_capita_usd,6843.39941886204
ARG,2022,gdp_per_capita_usd,13935.6811110049
AUS,2022,gdp_per_capita_usd,64997.0136536475
BRA,2022,gdp_per_capita_usd,9281.33334441234
CAF,2022,gdp_per_capita_usd,467.359825026238
CAN,2022,gdp_per_capita_usd,56256.8007264015
CHN,2022,gdp_per_capita_usd,12970.6056414327
CMR,2022,gdp_per_capita_usd,1604.87726954895
COD,2022,gdp_per_capita_usd,642.612267148918
COG,2022,gdp_per_capita_usd,2620.83804304713
DEU,2022,gdp_per_capita_usd,49686.1154582583
EUU,2022,gdp_per_capita_usd,37962.8295010744
FRA,2022,gdp_per_capita_usd,41082.8119320747
GAB,2022,gdp_per_capita_usd,8409.20741452279
GBR,2022,gdp_per_capita_usd,46062.9914079698
GNQ,2022,gdp_per_capita_usd,7589.29964909381
IDN,2022,gdp_per_capita_usd,4730.83484836107
IND,2022,gdp_per_capita_usd,2347.44829434623
ITA,2022,gdp_per_capita_usd,35653.9042103495
JPN,2022,gdp_per_capita_usd,34065.6438962526
KOR,2022,gdp_per_capita_usd,32394.6833725203
MEX,2022,gdp_per_capita_usd,11402.1410374782
PAK,2022,gdp_per_capita_usd,1538.3228133171
PHL,2022,gdp_per_capita_usd,3548.06930572116
RUS,2022,gdp_per_capita_usd,15619.6142578125
SAU,2022,gdp_per_capita_usd,38510.2276211037
TCD,2022,gdp_per_capita_usd,966.036468278568
TUR,2022,gdp_per_capita_usd,10674.504157865
USA,2022,gdp_per_capita_usd,77860.9112908848
ZAF,2022,gdp_per_capita_usd,6523.41097815853
ARG,2023,gdp_per_capita_usd,14187.4827252965
AUS,2023,gdp_per_capita_usd,64835.9199754535
BRA,2023,gdp_per_capita_usd,10377.5892792557
CAF,2023,gdp_per_capita_usd,495.978897288721
CAN,2023,gdp_per_capita_usd,54220.3285039875
CHN,2023,gdp_per_capita_usd,12951.1782397043
CMR,2023,gdp_per_capita_usd,1736.86091073524
COD,2023,gdp_per_capita_usd,633.395661686298
COG,2023,gdp_per_capita_usd,2477.97845477092
DEU,2023,gdp_per_capita_usd,53940.4073447462
EUU,2023,gdp_per_capita_usd,41392.0743803078
FRA,2023,gdp_per_capita_usd,44690.9345395117
GAB,2023,gdp_per_capita_usd,8071.39777400455
GBR,2023,gdp_per_capita_usd,49200.8101526146
GNQ,2023,gdp_per_capita_usd,6677.793435386
IDN,2023,gdp_per_capita_usd,4876.30774512252
IND,2023,gdp_per_capita_usd,2530.12031278204
ITA,2023,gdp_per_capita_usd,39065.4244365633
JPN,2023,gdp_per_capita_usd,33836.1756271617
KOR,2023,gdp_per_capita_usd,33121.3712885508
MEX,2023,gdp_per_capita_usd,13826.1306570122
PAK,2023,gdp_per_capita_usd,1365.16927410976
PHL,2023,gdp_per_capita_usd,3804.08274131097
RUS,2023,gdp_per_capita_usd,14159.3876953125
SAU,2023,gdp_per_capita_usd,36156.848337701
TCD,2023,gdp_per_capita_usd,989.058528968588
TUR,2023,gdp_per_capita_usd,13105.6585004778
USA,2023,gdp_per_capita_usd,82304.6204272866
ZAF,2023,gdp_per_capita_usd,6022.54254192335
ARG,2024,gdp_per_capita_usd,13858.2039802008
AUS,2024,gdp_per_capita_usd,64407.484256932
BRA,2024,gdp_per_capita_usd,10280.3148624429
CAF,2024,gdp_per_capita_usd,516.170424537757
CAN,2024,gdp_per_capita_usd,54282.6176051733
